Country Name,"Time","Adolescent fertility rate (births per 1,000 women ages 15-19)","Annual freshwater withdrawals, total (% of internal resources)","Births attended by skilled health staff (% of total)","CO2 emissions (metric tons per capita)","Contraceptive prevalence, any methods (% of women ages 15-49)","Electric power consumption (kWh per capita)","Energy use (kg of oil equivalent per capita)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","Forest area (sq. km)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Income share held by lowest 20%","Life expectancy at birth, total (years)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000 live births)","Net barter terms of trade index (2000 = 100)","Net migration","Net official development assistance and official aid received (current US$)","Personal remittances, received (current US$)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, total","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","Statistical Capacity score (Overall average)","Surface area (sq. km)","Terrestrial and marine protected areas (% of total territorial area)","Time required to start a business (days)","Total debt service (% of exports of goods, services and primary income)","Urban population growth (annual %)","GDP (current US$)"
Chile,"1981","65.3512","","","2.12003128298757","","919.097490298319","831.379758304557","","2.689","383000000","","2780","","32242843394.9621","","","95","","69.655","0","29.9","203.2258065","","-7250000","","15.5770209126414","1.4144267796708","11582014","","","","","","113.159187316895","1.01822996139526","63.9401206970215","","756096.015625","","","","2.07078085023709","34509878043.5897"
Chile,"1982","62.46","","","1.75545216580746","","887.353454909527","751.843061480967","","2.648","401000000","","2280","","26760037914.2423","","","96","","70.239","0","27.1","196.2962963","-154520","-8840000","","15.7947613638871","1.38815159304691","11743911","","","","","","111.562461853027","0.996450006961823","63.8084983825684","","756096.015625","","","","1.9344827269532","25325893205.657"
Chile,"1983","62.4778","","","1.75005298976483","","906.452490602924","766.662887681853","","2.619","135000000","","1820","","21673442221.5121","","","95","","70.782","0","24.6","212.244898","","100000","1000000","16.0153961087335","1.38721905559903","11907960","","","","","97.1223678588867","110.396606445313","1.00231003761292","68.2154922485352","","756096.015625","","","","1.54884266790691","20355959237.2128"
Chile,"1984","62.4956","","","1.83803360369792","","966.871127040723","795.231465785074","","2.601","78000000","","1590","","19201369623.0095","","","94","","71.282","0","23","202.0408163","","2250000","1000000","16.2442699068319","1.41897091089265","12078135","","","","","","107.296928405762","0.999679982662201","70.8387603759766","","756096.015625","","","","1.58032525163643","19622527479.6913"
Chile,"1985","62.5134","","","1.75433417452352","","988.150999132268","781.797135993792","","2.592","144300000","","1430","","17488386526.948","","","92","","71.737","0","22.4","185.7142857","","40010000","1000000","16.4851485677","1.47196633068433","12257236","","","","","","107.757972717285","1.00314998626709","74.1113891601563","","756096.015625","","","","1.6318584378855","17702885393.5099"
Chile,"1986","62.5312","","","1.78756270276381","","1028.13610638686","804.492238078591","","2.589","315500000","","1470","","18281305632.8768","","","91","","72.148","0","22.2","175","","-5150000","400000.006","16.7387852532412","1.52686081319647","12445823","","","","2.2","","106.375801086426","1.00092995166779","76.0438537597656","","756096.015625","","","","1.68528330982839","18891048818.7426"
Chile,"1987","62.549","","","1.79333997420217","","1054.42380259503","817.409564433038","","2.59","890500000","","1660","","20984163496.8667","","","92","3.3","72.524","0","21.9","155.2238806","-68650","21310000","500000","17.0038726895802","1.57126264708873","12642924","11.7","","","","","","","","","756096.015625","","","","1.72823210695913","22255407684.6999"
Chile,"1988","63.736","","","2.09584316517779","","1121.52299849903","910.496409164965","","2.591","967900000","","1930","","24827810827.9511","","","95","","72.872","0","21.4","142.3076923","","44330000","100000.0015","17.2792932382494","1.60677385932286","12847708","","","","","","103.158447265625","","80.1831283569336","","756096.015625","","","","1.76228298302502","26040229793.0697"
Chile,"1989","64.923","","","2.48009374245238","","1208.76732687749","1004.11019179619","","2.589","1283500000","","2200","","28669331607.4347","","","92","","73.198","0.037415503","20.4","125.2525253","","61690000","1299999.952","17.5631411306465","1.62935901120449","13058758","","","","","","103.300842285156","1.00717997550964","78.6073532104492","","756096.015625","","","","1.78463535500807","29885685142.9107"
Chile,"1990","66.11","","","2.5096528165056","56","1237.62460146702","1055.34861517348","","2.579","661200000","152630","2350","4270","31165864113.5709","56702411059.7881","","97","3.4","73.509","0.104869268","19.1","113.7254902","","103540000","400000.006","17.853464870482","1.6395147692577","13274623","8.1","","0.1","","","103.673057556152","1.01041996479034","75.7257690429688","","756096.015625","","","","1.79334664087931","33113887817.9731"
Chile,"1991","67.297","","","2.32107559559069","","1313.94301613204","1061.48752398806","","2.558","822700000","153200.99609375","2600","4700","35146274062.2557","63373742509.7379","","99","","73.808","0.26776813","17.6","113","","120860000","","18.1502039358173","1.64841970011086","13495258","","","0.1","","","103.117347717285","0.996519982814789","94.1935729980469","","756096.015625","","","","1.80081810492663","37834793730.3133"
Chile,"1992","68.484","2.29265536723164","","2.36701023533911","","1457.08919337784","1129.08712571208","","2.526","936100000","153772.001953125","3120","5390","42772904175.8535","73920149728.8774","","89","3.8","74.1","0.469670919","16.2","110.2040816","3610","131290000","","18.4522232040693","1.65030653117528","13719819","4.7","","0.1","","","99.7783279418945","0.999909996986389","94.2744598388672","","756096.015625","","","","1.84916054195355","45964327558.8836"
Chile,"1993","67.8598","","99.4","2.48315793753676","","1514.74330791168","1138.48101285793","","2.484","1034300000","154342.998046875","3440","5910","47964651748.0454","82380542370.9045","","94","","74.386","0.61087404","15","101.0416667","","173970000","","18.7549915994288","1.62750735300571","13944937","","","0.1","","","99.5268096923828","1.00889003276825","74.9056091308594","","756096.015625","","","","2.0240135868085","49297773130.1185"
